facility_id,facility_type,facility_name,facility_lat,facility_lon,A1,A2,A3,A4,facility_phone,facility_email,facility_url,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,facility_stops
10292,school,Escola Secundária da Amadora,38.755222,-9.230373,1,,,,214996280,,,Avenida Alexandre Salles,2720-012 AMADORA,Amadora,,,1115,Amadora,11,Lisboa,PT170,AML,"030089,030109,030461,030462,030463,030464,030465,030467,030479,030481,030483,030537,030538,030539,030541,030601,030837,030839,030840,030841,030865,030866,030867,030868"
10293,school,"Escola Secundária da Amora, Seixal",38.628350,-9.120315,,,1,,212268000,,,R. Mário Sacramento,2845-122 AMORA,Amora,,,1510,Seixal,15,Setúbal,PT170,AML,"140143,140153,140154,140155,140156,140217,140218,140309,140310"
10294,school,"Escola Secundária da Baixa da Banheira, Vale da Amoreira, Moita",38.645416,-9.041042,,,,1,212099970,,,Praceta Maria Helena Vieira da Silva,2835-220 VALE DA AMOREIRA,Vale da Amoreira,,,1506,Moita,15,Setúbal,PT170,AML,"090229,090251,090253"
10295,school,Escola Secundária da Moita,38.659637,-8.985957,,,,1,212899910,,,Largo da Juventude,2864-004 MOITA,Alto de S. Sebastião,,,1506,Moita,15,Setúbal,PT170,AML,"090099,090100,090101,090102,090119,090120,090165"
10296,school,"Escola Secundária da Quinta do Marquês, Oeiras",38.698490,-9.323288,1,,,,214571351,,,R. das Escolas - Quinta do Marquês,2780-102 OEIRAS,Oeiras,,,1110,Oeiras,11,Lisboa,PT170,AML,"120821,121199,121200,121201,121241,121242,050015,050016,050017,050057,050059"
10297,school,"Escola Secundária da Ramada, Odivelas",38.802425,-9.184547,,1,,,219318613,,,Largo da Escola Secundária,2620-439 RAMADA,Bons Dias,,,1116,Odivelas,11,Lisboa,PT170,AML,"110321,110323,110324,110325,110326,110359,110360,110397,110471,110472,110497,110593,110645,110646,111006,111007"
10298,school,"Escola Secundária Daniel Sampaio, Sobreda, Almada",38.638430,-9.181434,,,1,,212945650,,,R. Dr. Alberto Araújo,2815-811 SOBREDA,Vale de Figueira,,,1503,Almada,15,Setúbal,PT170,AML,"020925,020926,020927,020928"
10299,school,Escola Secundária de Alcochete,38.747078,-8.963258,,,,1,212349620,,,Rua da Escola Secundária - Sítio dos Barris,2890-006 ALCOCHETE,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,"010009,010010,010011,010012,010013,010014,010043,010071,010081,010082"
10300,school,"Escola Secundária de Cacilhas-Tejo, Almada",38.682453,-9.150879,,,1,,212736220,,,Pç. Gil Vicente,2804-506 ALMADA,Almada,,,1503,Almada,15,Setúbal,PT170,AML,"020029,020030,020031,020033,020041,020043,020111,020112,020115,020199,020213"
10301,school,"Escola Secundária de Camarate, Loures",38.792385,-9.143122,,1,,,219479493,,,R. Heróis de Mucaba - Bairro de Angola,2685-458 CAMARATE,Camarate,,,1107,Loures,11,Lisboa,PT170,AML,"070874,070875,070876,071375"
10302,school,"Escola Secundária de Caneças, Odivelas",38.809753,-9.234093,,1,,,219809630,,,Rua Major Rosa Bastos,1685-801 FAMÕES,Caneças,,,1116,Odivelas,11,Lisboa,PT170,AML,"110003,110004,110005,110009,110010,110021,110022,110061,110062,111023,111024,171565,171566"
10303,school,"Escola Secundária de Mem Martins, Sintra",38.783783,-9.336338,1,,,,219229500,,,R. S. Francisco Xavier,2635-195 RIO DE MOURO,Mem Martins,,,1111,Sintra,11,Lisboa,PT170,AML,"170153,170154,170155,170156,171154"
10304,school,"Escola Secundária de Miraflores, Algés, Oeiras",38.709343,-9.225946,1,,,,214123540,,,Avenida General Norton de Matos,1495-148 ALGÉS,Miraflores-Algés,,,1110,Oeiras,11,Lisboa,PT170,AML,"120181,120182,120183,120184,120233,120345,120399"
10305,school,"Escola Secundária de Monte da Caparica, Almada",38.661156,-9.197291,,,1,,212946120,,,R. Projectada V à rua da Urraca,2825-105 CAPARICA,Monte da Caparica,,,1503,Almada,15,Setúbal,PT170,AML,"020309,020310,020311,020359"
10306,school,Escola Secundária de Odivelas,38.793686,-9.180017,,1,,,219348280,,,Avenida Prof. Dr. Augusto Abreu Lopes,2675-300 ODIVELAS,Odivelas,,,1116,Odivelas,11,Lisboa,PT170,AML,"110123,110125,110126,110127,110128,110129,110130,110139,110221,110333,110334,110353,110407,110408,110489,110490,110515,111016,111017,111018"
10307,school,Escola Secundária de Palmela,38.571270,-8.908453,,,,1,212336840,,,Avenida Palmelense Futebol Club,2950-288 PALMELA,Palmela,,,1508,Palmela,15,Setúbal,PT170,AML,"130067,130068,130133,130134,130135,130136,130801,130802,130803,130804,130805,130806,130807"
10308,school,"Escola Secundária de Pinhal Novo, Palmela",38.637040,-8.911144,,,,1,212363344,,,R. Orlando Ribeiro,2955-211 PINHAL NOVO,Pinhal Novo,,,1508,Palmela,15,Setúbal,PT170,AML,"130341,130343,130345,130346,130347,130349,130391"
10309,school,"Escola Secundária de Sacavém, Loures",38.788166,-9.105887,,1,,,219499800,,,Av. Sport Grupo Sacavenense-Qtºdo Património,2685-011 SACAVÉM,Sacavém,,,1107,Loures,11,Lisboa,PT170,AML,"070515,070689,070691,070693,071275,071276,071505"
